IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,KEN,Kenya,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,28.31,,,24.29,,32.59,28.31 [24.29 – 32.59],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,TGO,Togo,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,28.65,,,23.33,,34.04,28.65 [23.33 – 34.04],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,MDG,Madagascar,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.22,,,24.29,,34.27,29.22 [24.29 – 34.27],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EMR,Eastern Mediterranean,Country,YEM,Yemen,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.36,,,24.26,,34.45,29.36 [24.26 – 34.45],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,UGA,Uganda,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.39,,,23.17,,35.78,29.39 [23.17 – 35.78],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,RWA,Rwanda,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.45,,,22.4,,36.55,29.45 [22.4 – 36.55],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,GMB,Gambia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.62,,,23.95,,35.41,29.62 [23.95 – 35.41],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,GIN,Guinea,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.66,,,24.81,,34.62,29.66 [24.81 – 34.62],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,COG,Congo,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.7,,,23.48,,36.08,29.7 [23.48 – 36.08],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AMR,Americas,Country,LCA,Saint Lucia,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,29.84,,,21.43,,40.32,29.84 [21.43 – 40.32],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,IRL,Ireland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.13,,,2.33,,4.05,3.13 [2.33 – 4.05],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,SWE,Sweden,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.14,,,2.52,,3.87,3.14 [2.52 – 3.87],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,GBR,United Kingdom of Great Britain and Northern Ireland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.21,,,3,,3.42,3.21 [3 – 3.42],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,WPR,Western Pacific,Country,JPN,Japan,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.6,,,3.17,,3.95,3.6 [3.17 – 3.95],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,DNK,Denmark,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.7,,,2.86,,4.68,3.7 [2.86 – 4.68],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,DEU,Germany,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.78,,,3.02,,4.65,3.78 [3.02 – 4.65],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,FIN,Finland,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.89,,,2.96,,4.99,3.89 [2.96 – 4.99],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,ISR,Israel,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.91,,,3.06,,4.88,3.91 [3.06 – 4.88],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,ESP,Spain,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.91,,,3.09,,4.81,3.91 [3.09 – 4.81],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,EUR,Europe,Country,NLD,Netherlands,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,3.98,,,3.13,,4.97,3.98 [3.13 – 4.97],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,MOZ,Mozambique,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,30.02,,,24.79,,35.73,30.02 [24.79 – 35.73],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,AFR,Africa,Country,CMR,Cameroon,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,30.18,,,24.03,,36.55,30.18 [24.03 – 36.55],,,EN,2021-02-08T16:00:00.000Z
RS_198,Estimated road traffic death rate (per 100 000 population),text,WPR,Western Pacific,Country,VNM,Viet Nam,Year,2019,true,Sex,Both sexes,BTSX,,,,,,,,,,30.56,,,27.21,,33.86,30.56 [27.21 – 33.86],,,EN,2021-02-08T16:00:00.000Z
